t_ps,beta_core_rmsd_vs_own_start,contact_jaccard_vs_own_start
50,2.3903,0.6960
100,2.0695,0.7168
150,2.1512,0.7109
200,2.0242,0.6882
250,2.3082,0.6802
300,2.9342,0.6667
350,3.2135,0.6877
400,3.3225,0.6577
450,3.0745,0.6687
500,3.0733,0.6758
550,3.1708,0.6505
600,3.5456,0.6269
650,3.4885,0.6324
700,3.0267,0.6758
750,3.2271,0.6416
800,3.4431,0.6456
850,3.4181,0.6836
900,3.4855,0.6637
950,3.4725,0.6607
1000,3.2003,0.6575
1050,3.1982,0.6587
1100,3.6623,0.6537
1150,3.3379,0.6536
1200,3.1481,0.6495
1250,3.2289,0.6460
1300,3.1982,0.6453
1350,3.4294,0.6239
1400,3.2962,0.6012
1450,3.3985,0.5898
1500,3.6433,0.6067
1550,3.4691,0.6231
1600,3.2694,0.6000
1650,3.3841,0.6319
1700,3.3258,0.6261
1750,3.3733,0.6154
1800,3.3800,0.6123
1850,3.1720,0.6304
1900,3.5900,0.6344
1950,3.9330,0.5802
2000,4.2477,0.5890
2050,3.8962,0.5951
2100,3.7601,0.6180
2150,3.9088,0.5836
2200,4.3837,0.5884
2250,4.6228,0.5663
2300,4.7511,0.5770
2350,4.7155,0.5909
2400,4.7543,0.6301
2450,4.8070,0.6087
2500,5.0065,0.6395
2550,5.3858,0.6223
2600,4.9156,0.6130
2650,4.7792,0.6135
2700,4.6957,0.6128
2750,5.0639,0.5783
2800,5.3156,0.5938
2850,4.9241,0.5740
2900,4.5764,0.5798
2950,4.7631,0.5859
3000,4.6253,0.6074
3050,4.2624,0.5613
3100,4.3969,0.5836
3150,4.3464,0.5672
3200,4.7902,0.5675
3250,4.4284,0.5671
3300,4.3981,0.5710
3350,4.7204,0.5559
3400,4.9074,0.5667
3450,4.2645,0.5542
3500,4.6879,0.5780
3550,4.5784,0.5559
3600,4.1722,0.5854
3650,4.4292,0.5552
3700,4.3692,0.5414
3750,3.9355,0.5653
3800,4.2959,0.5589
3850,4.3085,0.5831
3900,4.3916,0.6030
3950,4.7596,0.5854
4000,4.7162,0.5680
4050,4.7836,0.6123
4100,4.5020,0.6205
4150,4.6200,0.5813
4200,5.1595,0.5471
4250,5.0666,0.5498
4300,5.7789,0.5361
4350,5.6558,0.5617
4400,5.7253,0.5354
4450,5.9783,0.5108
4500,5.6186,0.5151
4550,5.4482,0.5280
4600,5.7905,0.5410
4650,5.8043,0.5278
4700,6.0134,0.5108
4750,5.8928,0.5296
4800,5.9658,0.5213
4850,6.1303,0.5265
4900,5.5510,0.5392
4950,5.5343,0.5683
5000,5.3765,0.5486
5050,5.3731,0.5791
5100,5.3024,0.5956
5150,5.5719,0.5786
5200,5.4406,0.5656
5250,5.3805,0.5466
5300,5.3200,0.5521
5350,5.3563,0.5449
5400,5.2626,0.5318
5450,5.1646,0.5346
5500,5.7895,0.4845
5550,5.9146,0.5234
5600,6.1462,0.5356
5650,6.3383,0.5031
5700,6.4248,0.4954
5750,5.8765,0.5124
5800,6.0118,0.5229
5850,5.9242,0.5092
5900,6.3975,0.5234
5950,5.6846,0.5110
6000,5.8005,0.5061
6050,5.7890,0.5321
6100,5.3936,0.5078
6150,5.5633,0.5062
6200,5.1042,0.5016
6250,4.9258,0.5108
6300,4.8115,0.4891
6350,4.8922,0.4648
6400,5.3913,0.4448
6450,5.3841,0.4608
6500,5.6663,0.4665
6550,5.6981,0.4862
6600,5.8849,0.4954
6650,5.7477,0.4820
6700,5.7128,0.4548
6750,5.8504,0.4704
6800,6.0499,0.4657
6850,5.9074,0.4793
6900,6.2055,0.4758
6950,6.0998,0.4457
7000,6.2506,0.4776
7050,6.2769,0.4808
7100,6.7003,0.4671
7150,6.6738,0.4532
7200,6.8701,0.4390
7250,7.5054,0.4438
7300,7.5916,0.4379
7350,7.2772,0.4971
7400,6.8073,0.4749
7450,7.3052,0.4602
7500,6.3724,0.5280
7550,6.8093,0.4866
7600,6.5167,0.4870
7650,6.1790,0.4838
7700,6.2871,0.4869
7750,6.1347,0.4925
7800,5.9478,0.4708
7850,6.3268,0.4865
7900,6.3142,0.4743
7950,6.7865,0.4708
8000,6.7678,0.4554
8050,7.0362,0.4464
8100,6.8905,0.4493
8150,6.5561,0.4591
8200,6.1746,0.4850
8250,6.1245,0.4880
8300,5.8571,0.4759
8350,5.9980,0.4554
8400,6.4210,0.4435
8450,6.3876,0.4507
8500,6.4083,0.4505
8550,6.2624,0.4565
8600,6.5150,0.4505
8650,6.2006,0.4407
8700,6.1517,0.4400
8750,6.2342,0.4299
8800,6.2993,0.4123
8850,6.1740,0.4043
8900,6.0036,0.4295
8950,6.5946,0.4042
9000,6.5585,0.4169
9050,6.9083,0.4277
9100,6.5182,0.4317
9150,6.2840,0.3921
9200,6.4940,0.4414
9250,6.5348,0.4348
9300,6.4891,0.3938
9350,6.6752,0.4062
9400,6.3323,0.4294
9450,6.6686,0.3988
9500,6.7239,0.4073
9550,6.4694,0.4088
9600,6.0040,0.4257
9650,6.2769,0.4411
