t_ps,beta_core_rmsd_vs_own_start,contact_jaccard_vs_own_start
50,2.0149,0.8050
100,1.9371,0.8127
150,1.6621,0.8066
200,1.8505,0.8066
250,1.8489,0.7809
300,2.1909,0.7646
350,1.8717,0.7756
400,2.6010,0.7500
450,2.3553,0.7544
500,2.2750,0.7487
550,2.7716,0.7543
600,2.7435,0.7545
650,2.7834,0.7761
700,2.5316,0.7663
750,2.9042,0.7742
800,2.7769,0.7814
850,2.7280,0.7708
900,2.5244,0.7619
950,2.5184,0.7494
1000,2.6832,0.7595
1050,2.7095,0.7657
1100,2.5613,0.7778
1150,2.5820,0.7426
1200,2.4932,0.7365
1250,2.8310,0.7469
1300,2.6260,0.7667
1350,2.3959,0.7544
1400,2.5276,0.7431
1450,2.7718,0.7646
1500,2.8629,0.7383
1550,2.9353,0.7708
1600,2.4540,0.7718
1650,2.2973,0.7661
1700,2.3197,0.7576
1750,2.8936,0.7462
1800,2.9789,0.7154
1850,3.1000,0.7430
1900,3.2220,0.7310
1950,3.3561,0.7111
2000,3.6188,0.7225
2050,3.9767,0.6934
2100,3.7888,0.7049
2150,3.5982,0.7057
2200,3.7307,0.7313
2250,3.3409,0.7184
2300,3.1966,0.7204
2350,3.1886,0.6783
2400,2.8912,0.7042
2450,3.0231,0.7252
2500,3.6791,0.7449
2550,3.1803,0.7332
2600,3.2339,0.7270
2650,3.2401,0.7104
2700,3.5423,0.7382
2750,3.1484,0.7171
2800,3.0142,0.7253
2850,3.0693,0.7153
2900,3.6953,0.6756
2950,3.4423,0.6917
3000,3.7687,0.7064
3050,3.5954,0.6962
3100,3.4432,0.7266
3150,2.8766,0.6988
3200,3.1958,0.6908
3250,2.9949,0.6745
3300,2.9084,0.6886
3350,2.7800,0.6753
3400,3.0478,0.7062
3450,2.9170,0.7150
3500,3.2053,0.6722
3550,3.2342,0.6865
3600,2.9660,0.6787
3650,3.1266,0.6546
3700,2.9626,0.6707
3750,3.0606,0.6683
3800,2.8741,0.6682
3850,3.0142,0.7034
3900,2.8578,0.6806
3950,2.9879,0.7081
4000,3.1258,0.6883
4050,3.4652,0.6898
4100,3.0585,0.6793
4150,3.1959,0.6847
4200,3.0682,0.6940
4250,2.8311,0.6927
4300,2.7547,0.6925
4350,2.3859,0.6850
4400,2.4725,0.6859
4450,2.4851,0.7092
4500,2.9585,0.6987
4550,3.1917,0.6980
4600,3.4098,0.7136
4650,3.4572,0.6854
4700,3.5528,0.6923
4750,3.4666,0.6915
4800,3.5701,0.7275
4850,3.5340,0.7174
4900,3.3888,0.7042
4950,3.4143,0.7244
5000,3.1656,0.7020
5050,3.2423,0.7153
5100,3.2709,0.7010
5150,3.1308,0.7010
5200,3.1956,0.6884
5250,2.9987,0.6998
5300,3.0027,0.7143
5350,2.9652,0.6951
5400,2.8635,0.6932
5450,2.9251,0.6827
5500,3.2367,0.6707
5550,3.1532,0.6579
5600,3.2816,0.6829
5650,3.4943,0.6813
5700,3.6585,0.6917
5750,3.4600,0.6715
5800,3.3176,0.6594
5850,3.2780,0.6822
5900,3.3272,0.6746
5950,3.1913,0.6847
6000,3.1416,0.6912
6050,2.7996,0.6929
6100,3.1086,0.6739
6150,3.3588,0.6675
6200,3.0871,0.6699
6250,3.3526,0.6781
6300,2.5505,0.6837
6350,2.6657,0.6594
6400,2.7648,0.6683
6450,2.6428,0.6968
6500,2.8461,0.6796
6550,2.5408,0.6708
6600,2.5969,0.6842
6650,2.7629,0.6658
6700,2.6167,0.6479
6750,2.5104,0.6832
6800,2.4724,0.6626
6850,2.6824,0.6741
6900,2.6739,0.6667
6950,2.9159,0.6675
7000,3.0575,0.6749
7050,2.7730,0.6953
7100,2.8556,0.6683
7150,2.9236,0.6817
7200,2.9373,0.6963
7250,3.1077,0.7125
7300,2.9090,0.6990
7350,3.1334,0.6691
7400,3.4936,0.6819
7450,3.8837,0.6882
7500,4.0706,0.6707
7550,4.4117,0.6691
7600,4.4062,0.6770
7650,4.4274,0.6769
7700,4.3864,0.6785
7750,4.2920,0.6643
7800,4.0950,0.6690
7850,4.0720,0.6906
7900,3.9858,0.6722
7950,3.7859,0.6932
8000,4.2467,0.6721
8050,4.0543,0.6778
8100,3.9890,0.6674
8150,4.3227,0.6836
8200,4.3437,0.6472
8250,4.4129,0.6793
8300,4.1793,0.6469
8350,4.4780,0.6491
8400,4.5699,0.6427
8450,4.5630,0.6674
8500,4.5120,0.6464
8550,4.2636,0.6541
8600,4.1094,0.6573
8650,4.2069,0.6471
8700,4.0677,0.6707
8750,4.2472,0.6509
8800,4.5056,0.6722
8850,4.4504,0.6884
8900,4.5990,0.6754
8950,4.8735,0.6746
9000,4.8548,0.6508
9050,4.7448,0.6659
9100,4.8177,0.6595
9150,4.8583,0.6739
9200,4.6753,0.6707
9250,4.7484,0.6927
9300,4.7184,0.6925
9350,4.6100,0.6512
9400,4.8569,0.6489
9450,4.5584,0.6749
9500,4.4528,0.6401
9550,4.5850,0.6520
9600,4.8019,0.6798
9650,4.4388,0.6683
9700,4.5065,0.6659
9750,4.5506,0.6799
9800,4.7222,0.6683
9850,4.5451,0.6779
9900,4.7980,0.6611
9950,4.9113,0.6812
10000,5.0006,0.6854
10050,4.7736,0.6690
10100,4.8854,0.6897
10150,4.6991,0.6548
10200,4.5249,0.6715
10250,4.4843,0.6634
10300,4.6549,0.6392
10350,4.7741,0.6594
10400,4.7866,0.6707
10450,4.7626,0.6838
10500,4.9137,0.6715
10550,4.8114,0.6698
10600,4.6731,0.6836
10650,4.8412,0.6567
10700,4.7660,0.6917
10750,4.5532,0.6754
10800,4.9846,0.6597
10850,4.6479,0.6706
10900,5.4907,0.6643
10950,5.5532,0.6508
11000,5.5365,0.6770
11050,5.7947,0.6530
11100,5.3803,0.6611
11150,5.4281,0.6507
11200,5.4988,0.6469
11250,6.0364,0.6509
11300,5.8790,0.6376
11350,6.0107,0.6347
11400,6.1985,0.6723
11450,5.4272,0.6643
11500,5.6566,0.6683
11550,5.6518,0.6465
11600,5.3819,0.6556
11650,5.7999,0.6471
11700,5.6298,0.6604
11750,5.8715,0.6635
11800,5.8968,0.6514
11850,5.9461,0.6512
11900,5.8999,0.6524
11950,5.8213,0.6619
12000,5.8210,0.6465
12050,5.4038,0.6573
12100,5.1938,0.6385
12150,5.3150,0.6643
12200,5.6402,0.6579
12250,5.4288,0.6731
12300,5.1311,0.6611
12350,5.1597,0.6468
12400,5.0415,0.6571
12450,4.8877,0.6459
12500,4.9829,0.6715
12550,5.1388,0.6344
12600,4.9120,0.6691
12650,5.3149,0.6492
12700,5.4724,0.6306
12750,5.7018,0.6557
12800,5.7251,0.6557
12850,5.5059,0.6357
12900,5.6759,0.6450
12950,5.7799,0.6372
13000,5.0749,0.6270
13050,5.2414,0.6485
13100,4.8435,0.6476
13150,4.7568,0.6455
13200,5.1140,0.6478
13250,4.9362,0.6319
13300,5.4447,0.6493
13350,5.5678,0.6336
13400,5.2205,0.6471
13450,4.8543,0.6306
13500,5.3489,0.6548
13550,5.1015,0.6596
13600,4.4864,0.6364
13650,4.8977,0.6476
13700,4.9343,0.6651
13750,4.9050,0.6667
13800,5.2076,0.6651
13850,5.5569,0.6469
13900,4.9823,0.6698
13950,5.1187,0.6683
14000,5.4533,0.6659
14050,4.9849,0.6611
14100,4.6498,0.6502
14150,4.4763,0.6390
14200,4.4088,0.6150
14250,4.7007,0.6185
14300,4.8672,0.6159
14350,5.2924,0.6226
14400,5.2904,0.6282
14450,5.4725,0.6355
14500,5.2077,0.6121
14550,5.0958,0.6223
14600,5.5462,0.6267
14650,5.5667,0.6351
14700,5.7415,0.6200
14750,5.5089,0.6316
14800,5.8447,0.5972
14850,5.6646,0.6212
14900,5.6735,0.6221
14950,4.6159,0.6152
15000,4.4724,0.6186
15050,4.8398,0.6042
15100,4.7681,0.5977
15150,5.1073,0.6000
15200,5.6121,0.6232
15250,4.9288,0.6223
15300,4.9371,0.6247
15350,4.8895,0.6090
15400,5.0212,0.6121
15450,4.8931,0.6232
