t_ps,beta_core_rmsd_vs_own_start,contact_jaccard_vs_own_start
50,1.9851,0.7995
100,2.4334,0.8246
150,2.4686,0.8241
200,2.5306,0.8156
250,2.4961,0.7990
300,2.3364,0.8225
350,2.1260,0.8514
400,2.2768,0.8338
450,2.1352,0.8329
500,2.1314,0.8449
550,2.3087,0.8016
600,2.3136,0.8026
650,2.4955,0.7995
700,2.4241,0.7902
750,2.3784,0.7758
800,2.6243,0.7661
850,2.6811,0.7746
900,2.6043,0.7868
950,2.6953,0.7481
1000,2.8475,0.7769
1050,2.7669,0.7758
1100,2.8043,0.7937
1150,2.9827,0.7583
1200,3.0993,0.7781
1250,2.9810,0.7885
1300,2.9397,0.7670
1350,2.9365,0.7362
1400,3.4604,0.7500
1450,3.4714,0.7730
1500,3.4369,0.7545
1550,4.0480,0.7429
1600,4.5700,0.7493
1650,4.6254,0.7379
1700,4.6082,0.7673
1750,4.6308,0.7870
1800,4.4316,0.7704
1850,4.1342,0.7416
1900,4.0810,0.7558
1950,4.1800,0.7558
2000,3.6335,0.7455
2050,3.3811,0.8005
2100,3.5631,0.7746
2150,3.2715,0.7455
2200,3.1254,0.7840
2250,3.2498,0.7789
2300,3.3667,0.7668
2350,3.3151,0.7740
2400,3.4582,0.7947
2450,3.3982,0.7818
2500,3.2292,0.7876
2550,2.9200,0.7839
2600,3.0315,0.7953
2650,3.2704,0.7881
2700,2.8098,0.7841
2750,3.2838,0.7608
2800,3.2356,0.7753
2850,3.3631,0.7732
2900,3.4452,0.7632
2950,3.4234,0.7820
3000,3.3205,0.7755
3050,3.2872,0.7804
3100,3.2010,0.8026
3150,3.0735,0.7741
3200,3.1874,0.8005
3250,3.2582,0.7712
3300,3.3066,0.7885
3350,3.5021,0.7789
3400,3.3969,0.7673
3450,3.8766,0.7629
3500,3.4096,0.7506
3550,3.2929,0.7786
3600,2.9912,0.7937
3650,3.3714,0.7694
3700,2.8531,0.7967
3750,3.3401,0.7719
3800,3.3701,0.7707
3850,3.2775,0.7863
3900,3.5076,0.7781
3950,3.4861,0.7356
4000,3.3723,0.7440
4050,3.3178,0.7415
4100,3.3897,0.7335
4150,3.7312,0.7356
4200,3.7093,0.7401
4250,3.1051,0.7360
4300,3.2833,0.7540
4350,3.4117,0.7203
4400,3.3395,0.7244
4450,3.6173,0.7439
4500,3.3745,0.7493
4550,3.2908,0.7480
4600,3.6395,0.7414
4650,3.4728,0.7325
4700,3.2085,0.7107
4750,3.1749,0.7172
4800,3.3656,0.7325
4850,3.1004,0.7333
4900,3.4810,0.7103
4950,3.2504,0.7268
5000,3.2150,0.6947
5050,3.5525,0.7028
5100,3.2296,0.7041
5150,3.2434,0.6982
5200,3.3314,0.7092
5250,3.3795,0.7110
5300,3.2928,0.7121
5350,3.2628,0.7003
5400,3.1339,0.7074
5450,3.0837,0.6869
5500,3.4198,0.6757
5550,3.1392,0.6864
5600,2.9223,0.6919
5650,2.8871,0.7169
5700,2.9742,0.7057
5750,3.0726,0.6864
5800,3.0659,0.7016
5850,2.9135,0.6813
5900,3.0146,0.7203
5950,2.9507,0.7135
6000,3.0255,0.6947
6050,3.1539,0.6736
6100,2.9086,0.6955
6150,3.1908,0.7034
6200,2.9825,0.6856
6250,3.1244,0.7203
6300,3.0963,0.7184
6350,3.0874,0.7065
6400,3.1682,0.7285
6450,3.0770,0.7090
6500,2.9882,0.7063
6550,2.8875,0.6867
6600,2.8480,0.7135
6650,2.7626,0.6947
6700,3.3742,0.6799
6750,3.6161,0.6684
6800,3.8429,0.6878
6850,4.0555,0.6632
6900,3.9362,0.6781
6950,3.5374,0.7078
7000,3.7918,0.6770
7050,3.7215,0.7162
7100,3.9290,0.6780
7150,3.7983,0.6966
7200,3.6698,0.6923
7250,3.8497,0.6728
7300,3.7039,0.6782
7350,3.7578,0.6702
7400,4.0182,0.6649
7450,4.5552,0.6586
