t_ps,beta_core_rmsd_vs_own_start,contact_jaccard_vs_own_start
50,2.2843,0.7787
100,2.3732,0.8141
150,2.4652,0.7902
200,2.4373,0.8011
250,2.4911,0.7796
300,2.7968,0.7967
350,2.7977,0.7574
400,2.8268,0.7412
450,2.8534,0.7560
500,2.6598,0.7636
550,2.8577,0.7684
600,3.0014,0.7289
650,2.7916,0.7787
700,2.8305,0.7705
750,2.9540,0.7527
800,2.9803,0.7655
850,2.8552,0.7527
900,3.2235,0.7473
950,3.0120,0.7239
1000,3.2957,0.7328
1050,3.4973,0.7268
1100,3.4416,0.7094
1150,3.6644,0.7150
1200,3.7008,0.7447
1250,3.7125,0.7406
1300,3.7656,0.7382
1350,4.0080,0.7389
1400,3.8799,0.7473
1450,3.8024,0.7554
1500,4.1139,0.7534
1550,3.7816,0.7447
1600,3.9094,0.7480
1650,3.9489,0.7098
1700,4.0392,0.7211
1750,4.0748,0.7256
1800,3.9751,0.7139
1850,4.3196,0.7218
1900,4.8863,0.6867
1950,4.5797,0.6719
2000,4.7561,0.6658
2050,4.7939,0.6553
2100,4.6982,0.6309
2150,4.4471,0.6408
2200,4.5264,0.6574
2250,4.6442,0.6257
2300,4.8587,0.6676
2350,4.9613,0.6538
2400,5.1943,0.6038
2450,5.6079,0.6240
2500,5.5796,0.5995
2550,5.7948,0.5845
2600,6.3755,0.5824
2650,6.0485,0.5745
2700,6.4185,0.5961
2750,6.6457,0.5455
2800,6.7633,0.5493
2850,6.6930,0.5535
2900,6.9031,0.5852
2950,6.8149,0.5491
3000,7.0803,0.5565
3050,7.0258,0.5582
3100,7.2554,0.5467
3150,7.5750,0.5376
3200,7.0476,0.5738
3250,7.0174,0.5568
3300,7.8205,0.5351
3350,7.6824,0.5640
3400,7.8298,0.5387
3450,8.2576,0.5251
3500,8.3937,0.5316
3550,8.0104,0.5220
3600,7.9885,0.5325
3650,7.9459,0.5266
3700,7.8344,0.5330
3750,7.9084,0.5160
3800,8.1384,0.5348
3850,8.4017,0.5506
3900,8.1546,0.5496
3950,8.2484,0.5319
4000,7.7993,0.5737
4050,7.4798,0.5737
4100,7.4841,0.5599
4150,7.6243,0.5466
4200,7.9451,0.5422
4250,8.1030,0.5393
4300,7.5254,0.5681
4350,7.8931,0.5429
4400,7.4751,0.5476
4450,7.2841,0.5782
4500,7.4999,0.5718
4550,7.5799,0.5849
4600,7.6859,0.5767
4650,7.7325,0.5729
4700,7.9586,0.5757
4750,7.8344,0.5769
4800,7.8253,0.5746
4850,7.5609,0.5544
4900,7.6486,0.5435
4950,7.5952,0.5737
5000,7.2350,0.5741
