t_ps,beta_core_rmsd_vs_own_start,contact_jaccard_vs_own_start
50,1.8546,0.8263
100,2.1198,0.8066
150,2.0446,0.8210
200,1.9535,0.8156
250,2.0014,0.8254
300,2.3827,0.7834
350,2.4023,0.7719
400,2.4271,0.7959
450,2.5402,0.7812
500,2.5001,0.7719
550,2.4924,0.7888
600,3.0402,0.7631
650,3.1104,0.7755
700,2.5048,0.7797
750,2.0862,0.7741
800,2.3834,0.7557
850,2.5934,0.7739
900,2.9513,0.7568
950,2.9121,0.7897
1000,2.9048,0.7714
1050,2.5937,0.7778
1100,2.5139,0.7753
1150,2.8788,0.7873
1200,3.1683,0.7888
1250,2.8725,0.7531
1300,3.1215,0.7628
1350,3.5839,0.7630
1400,3.5752,0.7407
1450,3.7461,0.7587
1500,3.2855,0.7749
1550,2.9922,0.7637
1600,3.0962,0.7641
1650,3.2703,0.7582
1700,3.3621,0.7640
1750,3.2857,0.7577
1800,3.6325,0.7598
1850,3.5232,0.7806
1900,3.7927,0.7606
1950,3.4851,0.7593
2000,4.3462,0.7494
2050,4.7290,0.7519
2100,4.4413,0.7817
2150,3.7592,0.7671
2200,3.8744,0.7631
2250,3.7396,0.7569
2300,3.6834,0.7531
2350,3.9728,0.7419
2400,4.2658,0.7377
2450,3.4847,0.7252
2500,3.8680,0.7358
2550,3.6109,0.7161
2600,3.4607,0.7323
2650,3.3560,0.7494
2700,3.4554,0.7282
2750,3.5370,0.7456
2800,3.8704,0.7448
2850,3.2367,0.7417
2900,3.6366,0.7494
2950,3.6746,0.7282
3000,3.8610,0.7315
3050,3.7854,0.7125
3100,3.6912,0.7150
3150,3.8366,0.7343
3200,4.1755,0.7182
3250,3.9226,0.7275
3300,3.4915,0.7203
3350,3.7605,0.7417
3400,3.7166,0.7307
3450,4.2624,0.7325
3500,4.2144,0.7232
3550,4.1762,0.7313
3600,4.3470,0.7121
3650,4.1554,0.7204
3700,3.7933,0.7250
3750,3.9984,0.7150
3800,3.6245,0.7305
3850,3.6165,0.7315
3900,3.8752,0.7122
3950,3.9702,0.7125
4000,3.6330,0.7257
4050,4.0438,0.7136
4100,3.7937,0.7030
4150,3.7100,0.7117
4200,4.3312,0.7143
4250,4.4574,0.7168
4300,4.6335,0.7154
4350,4.3681,0.7201
4400,4.0269,0.6894
4450,3.9365,0.7010
4500,3.7955,0.7072
4550,3.8348,0.7113
4600,4.1154,0.7038
4650,4.0861,0.7139
4700,4.3075,0.7183
4750,4.3740,0.7060
4800,4.1764,0.7066
4850,4.2644,0.7088
4900,4.3651,0.6941
4950,4.1450,0.7084
5000,4.4158,0.7179
5050,4.6751,0.7044
5100,4.9225,0.7332
5150,4.5464,0.7383
5200,4.2751,0.7143
5250,4.4149,0.7198
5300,4.5676,0.6875
5350,4.9156,0.6954
5400,4.6734,0.6889
5450,4.3956,0.6949
5500,4.1736,0.7041
5550,4.2562,0.7176
5600,3.9992,0.7010
5650,4.4873,0.7147
5700,4.3743,0.6904
5750,4.3274,0.6850
5800,4.1134,0.6751
5850,4.0444,0.7074
5900,3.9736,0.7078
5950,4.0040,0.6870
6000,3.6609,0.6917
6050,3.8420,0.6906
6100,3.6597,0.7279
6150,3.6304,0.7206
6200,2.9530,0.7350
6250,2.8492,0.7164
6300,2.9569,0.7118
6350,3.2003,0.7176
6400,3.2321,0.7293
6450,2.9663,0.7129
6500,3.9275,0.7246
6550,3.6104,0.7456
6600,3.8374,0.7128
6650,3.5297,0.7153
6700,3.7856,0.7280
6750,3.7605,0.6925
6800,3.9499,0.7182
6850,4.0385,0.7146
6900,3.5165,0.7318
6950,3.5784,0.7022
7000,3.6595,0.7188
7050,3.6280,0.7178
7100,3.4543,0.7065
7150,3.2034,0.7125
7200,3.4070,0.6955
7250,3.6152,0.7043
7300,3.2901,0.7084
7350,3.2213,0.7096
7400,3.6055,0.7111
7450,3.9122,0.6904
7500,3.7291,0.7238
7550,3.4037,0.7038
7600,3.0930,0.6977
7650,3.1137,0.6896
7700,3.2204,0.6995
7750,2.9174,0.7066
7800,3.1182,0.6910
7850,3.3617,0.6950
7900,2.9577,0.7139
7950,3.3525,0.7074
8000,3.2995,0.6815
8050,3.7874,0.6862
8100,3.7912,0.6786
8150,4.1521,0.6894
8200,4.2948,0.6889
8250,4.1269,0.6929
8300,4.1986,0.6898
8350,4.3335,0.6765
8400,4.3870,0.6724
8450,4.5794,0.6832
8500,4.3655,0.7022
8550,4.5702,0.6627
8600,4.5852,0.6891
8650,4.7123,0.6725
8700,4.5540,0.6609
8750,4.7182,0.6732
8800,4.6248,0.6642
8850,4.7378,0.6493
8900,4.5139,0.6741
8950,4.8693,0.6593
9000,4.6558,0.6816
9050,4.5714,0.6535
9100,4.5817,0.6708
9150,4.7493,0.6825
9200,4.3426,0.6717
9250,4.2006,0.6667
9300,4.1634,0.6602
9350,4.1125,0.6800
9400,4.1227,0.6699
9450,4.0513,0.6758
9500,4.1444,0.6553
9550,4.5723,0.6506
9600,4.7969,0.6837
9650,4.1812,0.6667
9700,4.2608,0.6803
9750,4.4323,0.6740
9800,4.5763,0.6519
9850,4.2382,0.6488
9900,4.4523,0.6789
9950,4.2350,0.6739
10000,4.3793,0.6513
10050,4.6834,0.6708
10100,4.6236,0.6634
10150,4.6790,0.6514
10200,4.4288,0.6906
10250,4.5931,0.6723
10300,4.3576,0.6392
10350,4.0565,0.6634
10400,4.0736,0.6742
10450,3.9092,0.6708
10500,4.6305,0.6642
10550,4.4142,0.6609
10600,4.0399,0.6894
10650,3.8665,0.6859
10700,4.0302,0.7107
10750,3.5269,0.6794
10800,3.6937,0.6783
10850,3.8584,0.6700
10900,4.0562,0.6400
10950,4.3621,0.6526
11000,4.7690,0.6542
11050,4.7353,0.6553
11100,4.9196,0.6511
11150,4.7021,0.6864
11200,4.5453,0.6667
11250,4.4345,0.6469
11300,4.6076,0.6675
11350,4.9055,0.6642
11400,4.6487,0.6584
11450,4.5340,0.6416
11500,4.4201,0.6430
11550,4.3892,0.6448
11600,4.3673,0.6295
11650,4.5532,0.6406
11700,4.1100,0.6625
11750,4.0732,0.6625
11800,3.8846,0.6512
11850,4.3414,0.6454
11900,4.1643,0.6405
11950,4.4550,0.6206
12000,4.1586,0.6343
12050,4.2811,0.6025
12100,4.0881,0.6256
12150,4.2783,0.6160
12200,4.4716,0.6129
12250,4.5631,0.6075
12300,4.7009,0.6030
12350,4.7344,0.6278
12400,4.6108,0.6136
12450,4.3606,0.6070
12500,4.1453,0.6064
12550,4.0546,0.6313
12600,4.2960,0.6225
12650,4.1638,0.6269
12700,4.1717,0.5965
12750,4.1988,0.6410
12800,4.3629,0.6213
12850,4.1946,0.6110
12900,4.3200,0.5881
12950,4.1905,0.6187
13000,4.0546,0.6332
13050,4.1829,0.6114
13100,4.3268,0.6030
13150,4.5794,0.6055
13200,4.3066,0.5985
13250,4.5927,0.5971
13300,4.9400,0.5925
13350,5.1163,0.6200
13400,4.9381,0.6294
13450,4.8296,0.6135
13500,4.5376,0.6156
13550,4.8532,0.6322
13600,4.6786,0.6281
13650,4.5713,0.6234
13700,4.7251,0.6165
13750,4.7832,0.6156
13800,4.7169,0.6259
13850,4.6365,0.6121
13900,4.3866,0.6598
13950,4.3114,0.6219
14000,4.4776,0.6133
14050,4.4070,0.6303
14100,4.8902,0.6163
14150,4.4215,0.6219
14200,4.2624,0.6185
14250,4.6481,0.6010
14300,4.5393,0.6045
14350,4.5096,0.6111
14400,3.9137,0.6244
14450,4.3237,0.6392
14500,4.4162,0.6090
14550,4.7458,0.5806
14600,4.6944,0.5669
14650,5.0264,0.5778
14700,4.8198,0.5648
14750,4.5973,0.5739
14800,5.1090,0.5448
14850,5.1131,0.5195
14900,4.9543,0.5385
14950,5.1470,0.5237
15000,5.1204,0.5394
15050,4.9357,0.5649
15100,4.8631,0.5556
15150,5.0329,0.5108
15200,5.3881,0.5164
15250,5.6258,0.5174
15300,5.8761,0.5172
15350,5.5827,0.5049
15400,6.0095,0.5264
15450,5.7368,0.5350
15500,5.9559,0.5037
15550,5.8789,0.5172
15600,5.5374,0.5037
15650,5.9141,0.5062
15700,5.7869,0.5210
15750,5.8805,0.5312
15800,5.9753,0.5199
15850,5.8207,0.5215
15900,5.9363,0.5000
15950,5.5568,0.5373
16000,5.9528,0.5434
16050,6.0355,0.5099
16100,6.0541,0.5050
16150,6.0097,0.5281
16200,6.1758,0.5063
16250,6.1276,0.5373
16300,6.3079,0.5212
16350,6.0642,0.5063
16400,6.1205,0.5076
16450,5.7019,0.4937
16500,5.7718,0.5102
16550,5.7862,0.5038
16600,5.8790,0.5150
16650,6.1084,0.5238
16700,5.9672,0.4975
16750,5.7056,0.5473
16800,5.8551,0.5575
16850,5.4176,0.5455
16900,5.6978,0.5644
16950,6.1246,0.5330
17000,6.1247,0.4975
17050,5.6531,0.5026
17100,5.6132,0.5115
17150,5.9243,0.5013
17200,6.1998,0.5216
17250,6.4552,0.4926
17300,6.5098,0.4938
17350,6.4518,0.5075
17400,5.9951,0.5099
17450,6.0507,0.5074
17500,6.2201,0.5315
17550,6.1854,0.4864
17600,6.5305,0.4975
17650,6.4572,0.4903
17700,6.5537,0.4756
17750,6.2843,0.4889
17800,6.4778,0.4641
17850,6.5666,0.5135
17900,6.4939,0.4913
17950,6.3134,0.5037
18000,6.4434,0.4770
18050,6.2443,0.4828
18100,6.0852,0.4779
18150,6.4681,0.4629
18200,6.4303,0.4776
18250,6.0035,0.4876
18300,6.1017,0.4876
18350,6.2106,0.4791
18400,6.0984,0.4697
18450,6.2792,0.5037
18500,6.3237,0.5089
18550,6.4268,0.4793
18600,6.5173,0.4888
18650,6.6071,0.4903
18700,6.6325,0.4867
18750,6.7744,0.4648
18800,6.6013,0.5145
18850,6.6714,0.5097
18900,6.6022,0.5120
18950,6.7819,0.4744
19000,6.5573,0.5156
19050,6.8092,0.5084
19100,6.8567,0.4793
19150,6.9365,0.4872
19200,6.9717,0.4885
19250,6.6780,0.4736
19300,6.8743,0.4830
19350,6.6916,0.4707
19400,6.9444,0.5083
19450,6.9963,0.4930
19500,7.2841,0.5083
19550,6.9085,0.4953
19600,7.0133,0.4904
19650,7.0242,0.4952
19700,7.3664,0.4905
19750,7.0085,0.4818
19800,6.7492,0.4856
19850,6.8365,0.4665
19900,6.7583,0.4927
19950,7.1669,0.4754
20000,6.7201,0.4853
20050,6.9715,0.4663
20100,6.6460,0.4805
20150,6.6547,0.4964
20200,6.5523,0.4877
20250,6.8571,0.5124
20300,7.1848,0.4843
20350,7.1012,0.4988
20400,6.9375,0.5012
20450,7.2714,0.4976
20500,7.5409,0.5037
20550,7.4957,0.5025
20600,7.4471,0.4867
20650,7.5252,0.5074
20700,7.4978,0.5063
20750,7.6409,0.4764
20800,7.2711,0.4826
20850,7.4651,0.4788
20900,7.6453,0.4756
20950,7.6501,0.4988
21000,7.1841,0.4794
21050,7.5770,0.4675
21100,7.6355,0.4749
21150,7.8101,0.4807
21200,7.7320,0.4670
21250,7.6333,0.4940
21300,7.8138,0.4855
21350,7.6734,0.5024
21400,7.6869,0.4868
21450,7.9096,0.4729
21500,7.8458,0.4930
21550,7.5303,0.4929
21600,7.8662,0.4606
21650,7.8067,0.4692
