t_ps,beta_core_rmsd_vs_own_start,contact_jaccard_vs_own_start
50,2.0915,0.8187
100,2.0232,0.8064
150,2.3950,0.7918
200,2.2079,0.8136
250,2.4172,0.8129
300,2.4260,0.7972
350,2.2786,0.7877
400,2.3644,0.8118
450,2.5545,0.8064
500,2.4791,0.7986
550,2.5209,0.7818
600,2.7432,0.8021
650,2.6596,0.7836
700,2.7293,0.7836
750,2.5805,0.7641
800,2.5134,0.7690
850,2.5243,0.7683
900,2.7605,0.7672
950,2.8090,0.7858
1000,2.6472,0.7837
1050,2.5482,0.7672
1100,2.6222,0.7762
1150,2.4136,0.7831
1200,2.8129,0.7760
1250,2.7006,0.7561
1300,2.6977,0.7668
1350,2.5628,0.7720
1400,2.3779,0.7820
1450,2.7573,0.7836
1500,2.7880,0.7876
1550,2.5696,0.7809
1600,2.6317,0.7873
1650,2.5348,0.7614
1700,2.8305,0.7676
1750,3.0749,0.7653
1800,2.7602,0.7496
1850,3.2377,0.7461
1900,3.1135,0.7637
1950,2.9288,0.7660
2000,2.7048,0.7656
2050,2.7924,0.7760
2100,3.0595,0.7487
2150,2.9784,0.7663
2200,2.9512,0.7640
2250,2.9945,0.7534
2300,2.8921,0.7845
2350,3.2792,0.7731
2400,3.3308,0.7644
2450,3.2105,0.7853
2500,3.3221,0.7686
2550,3.3551,0.7656
2600,3.3192,0.7521
2650,3.2002,0.7578
2700,3.2607,0.7639
2750,3.0719,0.7694
2800,3.6033,0.7548
2850,3.6352,0.7566
2900,3.3521,0.7513
2950,3.5078,0.7599
3000,3.5304,0.7622
3050,3.3990,0.7718
3100,3.6018,0.7606
3150,3.2190,0.7754
3200,3.4607,0.7517
3250,3.1092,0.7725
3300,3.4795,0.7522
3350,3.5221,0.7596
3400,3.0655,0.7624
3450,2.9902,0.7620
3500,3.2369,0.7736
3550,3.7158,0.7483
3600,3.9845,0.7640
3650,3.8658,0.7748
3700,3.5839,0.7569
3750,3.4652,0.7646
3800,3.6453,0.7681
3850,3.5811,0.7434
3900,3.5083,0.7553
3950,3.5523,0.7375
4000,3.1979,0.7383
4050,3.4386,0.7382
4100,3.4217,0.7487
4150,3.3353,0.7675
4200,3.4585,0.7548
4250,3.5377,0.7400
4300,3.7763,0.7388
4350,3.6384,0.7235
4400,3.8672,0.7295
4450,3.8677,0.7403
4500,4.4592,0.7311
4550,4.2030,0.7406
4600,3.8607,0.7300
4650,4.2558,0.7336
4700,4.1401,0.7433
4750,4.0104,0.7381
4800,4.3791,0.7455
4850,4.0897,0.7183
4900,3.6224,0.7150
4950,4.0840,0.7323
5000,4.0215,0.7100
5050,4.0861,0.7213
5100,4.2586,0.7412
5150,4.6084,0.7069
5200,4.8697,0.7329
5250,4.9496,0.7348
5300,4.8476,0.7447
5350,5.0514,0.7363
5400,4.8013,0.7447
5450,5.2501,0.7391
5500,5.4855,0.7120
5550,4.9782,0.7040
5600,5.2475,0.7130
5650,5.4431,0.7364
5700,5.5738,0.7339
5750,5.0313,0.7289
5800,5.4848,0.6967
5850,5.4396,0.7247
5900,5.6081,0.7128
5950,5.9336,0.7263
6000,5.7101,0.7234
6050,5.8325,0.7000
6100,5.9425,0.7155
6150,5.3342,0.7456
6200,5.2467,0.7188
6250,5.4463,0.7031
6300,4.9972,0.7103
6350,5.2221,0.7135
6400,5.2823,0.7111
6450,4.8842,0.7170
6500,5.0992,0.7007
6550,4.6703,0.6981
6600,4.5605,0.7126
6650,4.3531,0.6927
6700,4.3125,0.6913
6750,4.4929,0.6971
6800,4.6423,0.6979
6850,4.4627,0.7059
6900,4.1746,0.6940
6950,3.7280,0.6938
7000,3.8049,0.6928
7050,3.9113,0.7106
7100,3.9872,0.7180
7150,4.0646,0.7138
7200,3.9101,0.7138
7250,3.4193,0.7298
7300,3.3079,0.7263
7350,3.4858,0.7344
7400,3.4367,0.7282
7450,3.6699,0.7409
7500,3.2790,0.7333
7550,3.3544,0.7185
7600,3.4846,0.7133
7650,3.6008,0.7289
7700,3.8938,0.7196
7750,3.8700,0.7125
7800,3.7081,0.7045
7850,4.0171,0.7143
7900,3.8101,0.6993
7950,3.7938,0.7014
8000,3.8986,0.6894
8050,4.1187,0.7068
8100,4.0721,0.6747
8150,4.3286,0.7062
8200,4.3181,0.6944
8250,4.5682,0.6926
8300,4.6144,0.6882
8350,4.7545,0.7078
8400,4.7019,0.7108
8450,4.6246,0.7014
8500,4.5516,0.6991
8550,4.5708,0.7273
8600,4.2288,0.7101
8650,4.4710,0.7071
8700,4.5284,0.6983
8750,4.8898,0.7093
8800,4.8685,0.7223
8850,4.9964,0.6729
8900,4.7374,0.6981
8950,4.7263,0.6967
9000,4.9959,0.7115
9050,4.8191,0.7069
9100,5.0887,0.6902
9150,4.8257,0.6976
9200,5.3745,0.6973
9250,5.5119,0.6861
9300,5.0697,0.7050
9350,5.2550,0.7160
9400,5.4632,0.7022
9450,5.3732,0.6957
9500,5.5147,0.7053
9550,6.0071,0.6777
9600,5.9924,0.6934
9650,6.0397,0.7027
9700,5.9098,0.6990
9750,5.7035,0.6898
9800,6.1097,0.6965
9850,5.8437,0.7096
9900,5.4855,0.6940
9950,5.9196,0.7042
10000,6.0075,0.6892
10050,5.6712,0.7063
10100,6.1263,0.6891
10150,5.6795,0.6870
10200,5.2380,0.7031
10250,5.6564,0.6941
10300,5.4534,0.7012
10350,5.8431,0.6766
10400,5.5320,0.6840
10450,5.3439,0.6841
10500,5.3225,0.6816
