t_ps,beta_core_rmsd_vs_own_start,contact_jaccard_vs_own_start
50,2.5930,0.7828
100,2.9719,0.7889
150,3.0335,0.7950
200,2.6331,0.7993
250,2.4031,0.8017
300,2.7069,0.7947
350,2.6883,0.7849
400,2.8253,0.7785
450,2.7489,0.7813
500,2.6854,0.7856
550,2.6908,0.7582
600,2.7578,0.7512
650,3.0080,0.7452
700,3.1216,0.7660
750,3.3529,0.7568
800,3.3788,0.7508
850,3.2935,0.7389
900,2.9990,0.7639
950,2.9473,0.7677
1000,3.1367,0.7709
1050,3.0338,0.7696
1100,3.1553,0.7447
1150,3.6302,0.7315
1200,3.3708,0.7389
1250,3.4950,0.7488
1300,3.9297,0.7356
1350,3.9567,0.7533
1400,4.0717,0.7589
1450,4.1255,0.7286
1500,4.3781,0.7312
1550,3.8883,0.7380
1600,4.3143,0.7338
1650,4.6105,0.7265
1700,4.3092,0.7182
1750,4.8284,0.7161
1800,4.7133,0.7233
1850,4.4846,0.7116
1900,4.7870,0.7170
1950,4.9268,0.7104
2000,4.6994,0.7161
2050,4.6532,0.7316
2100,4.7684,0.7306
2150,5.2732,0.7114
2200,5.2550,0.7071
2250,5.7662,0.7100
2300,5.9411,0.7220
2350,5.8599,0.6925
2400,5.7546,0.7084
2450,5.5110,0.7225
2500,5.3661,0.7300
2550,5.3142,0.7212
2600,5.4268,0.7186
2650,5.2881,0.7036
2700,5.1594,0.7334
2750,5.0789,0.7041
2800,5.4116,0.7193
2850,5.6047,0.7016
2900,5.3160,0.7193
2950,5.2262,0.7161
3000,5.8117,0.7079
3050,5.5923,0.6962
3100,5.3762,0.7191
3150,5.0683,0.7079
3200,4.8058,0.7239
3250,5.2172,0.7041
3300,5.0523,0.7238
3350,5.0547,0.7116
3400,4.8198,0.6968
3450,5.3716,0.7193
3500,5.4628,0.7182
3550,5.3395,0.7283
3600,5.3551,0.7161
3650,4.9852,0.7309
3700,4.9822,0.7145
3750,4.6085,0.7359
3800,4.3669,0.7508
3850,4.4524,0.7292
3900,4.7719,0.7349
3950,4.2662,0.7302
4000,4.4408,0.7253
4050,4.1952,0.7416
4100,4.6724,0.7327
4150,4.5619,0.7268
4200,4.2760,0.7407
4250,4.2954,0.7432
4300,4.2120,0.7305
4350,4.3033,0.7416
4400,4.4494,0.7334
4450,4.2000,0.7480
4500,4.1626,0.7282
4550,4.3337,0.7289
4600,3.9875,0.7412
4650,3.9213,0.7380
4700,3.9842,0.7484
4750,3.6657,0.7472
4800,3.8631,0.7476
4850,3.9875,0.7440
4900,3.6484,0.7391
4950,3.6839,0.7364
5000,3.3392,0.7488
5050,3.3470,0.7423
5100,3.3481,0.7407
5150,3.5129,0.7500
5200,3.5365,0.7372
5250,3.7783,0.7152
5300,4.1379,0.7480
5350,4.1926,0.7355
5400,3.8262,0.7549
5450,4.0140,0.7443
5500,4.1858,0.7512
5550,4.6054,0.7366
5600,4.6895,0.7374
5650,4.3492,0.7533
5700,4.9585,0.7387
5750,4.8889,0.7455
5800,4.8734,0.7198
5850,4.9980,0.7210
5900,5.2890,0.7337
5950,5.1770,0.7129
6000,5.3322,0.7300
6050,5.0270,0.7173
6100,4.8919,0.7316
6150,4.7956,0.7279
6200,4.6959,0.7326
6250,5.0781,0.7311
6300,4.8273,0.7303
6350,5.0306,0.7406
6400,4.6486,0.7270
6450,4.5697,0.7281
6500,4.2838,0.7152
6550,4.5100,0.7102
6600,4.4293,0.7161
6650,4.4693,0.7296
6700,4.3579,0.7234
6750,4.1954,0.7213
6800,4.2714,0.7316
6850,4.2334,0.7287
6900,4.3596,0.7138
6950,4.6914,0.7147
7000,4.7724,0.7403
7050,4.6549,0.7191
7100,4.7611,0.7127
7150,4.9946,0.7191
7200,5.1383,0.7246
7250,4.8382,0.7084
7300,4.9739,0.7242
7350,5.0781,0.7063
7400,4.8315,0.7177
7450,4.5829,0.7100
7500,4.9190,0.7079
7550,5.0653,0.7326
7600,4.7746,0.7249
7650,4.3916,0.7253
7700,4.3178,0.7088
7750,4.2460,0.7088
7800,4.6581,0.7368
7850,4.4430,0.7362
7900,4.2867,0.7259
7950,4.2475,0.7376
8000,4.0997,0.7289
8050,4.3166,0.7222
8100,4.6526,0.7223
8150,4.4073,0.7327
8200,4.5421,0.7404
8250,4.5706,0.7171
8300,4.8277,0.7309
8350,4.9632,0.7202
8400,5.2542,0.7268
8450,5.3533,0.7058
8500,5.5276,0.7487
8550,5.3938,0.7253
8600,5.4937,0.7337
8650,5.0891,0.7416
8700,5.3968,0.7264
8750,5.5840,0.7433
8800,5.4718,0.7337
8850,5.4615,0.7408
8900,5.3521,0.7140
8950,5.5006,0.7475
9000,5.7480,0.7282
9050,5.6031,0.7250
9100,5.5571,0.7190
9150,5.9025,0.6998
9200,5.5841,0.7022
9250,5.2105,0.7181
9300,5.2840,0.7094
9350,5.3624,0.7271
9400,5.6354,0.7140
9450,5.2840,0.7277
9500,5.7992,0.7030
9550,5.5002,0.6818
9600,5.4972,0.6938
9650,5.6624,0.6922
9700,5.7363,0.6900
9750,5.6554,0.6590
9800,4.9805,0.6903
9850,5.0553,0.7140
9900,5.0177,0.6888
9950,4.9488,0.7114
10000,5.3146,0.7251
10050,5.0491,0.7025
10100,5.2370,0.7053
10150,4.9520,0.7265
10200,4.8822,0.7092
10250,5.1217,0.6921
10300,5.5324,0.6959
10350,5.6218,0.7022
10400,5.6044,0.7025
10450,5.7684,0.6923
10500,5.8276,0.6920
10550,5.5551,0.6787
10600,5.8318,0.6694
10650,6.0651,0.6694
10700,5.9496,0.6938
10750,5.8077,0.6955
10800,5.9645,0.7003
10850,6.1056,0.7032
10900,6.2947,0.6877
10950,6.2196,0.6954
11000,6.0205,0.7044
11050,6.1062,0.7192
11100,6.3083,0.6964
11150,6.4973,0.7062
11200,6.1596,0.6959
11250,6.1327,0.6946
11300,6.4287,0.7140
11350,7.0185,0.7032
11400,7.0292,0.6949
11450,6.7072,0.6937
11500,6.7084,0.6871
11550,6.3874,0.6957
11600,6.7411,0.7044
11650,6.4891,0.7150
11700,6.3461,0.7099
11750,6.1135,0.7046
11800,6.0169,0.7097
11850,6.1072,0.6908
11900,6.0962,0.7104
11950,6.1923,0.7107
12000,6.3090,0.7090
12050,6.2856,0.7097
12100,6.1548,0.7092
12150,6.1011,0.7126
12200,5.9170,0.7264
12250,6.0087,0.7155
12300,5.7934,0.7116
12350,5.8711,0.7199
12400,6.1154,0.7155
12450,5.8998,0.7133
12500,5.9762,0.7176
12550,6.1911,0.7181
12600,6.2284,0.7032
12650,6.2098,0.7110
12700,6.3033,0.7112
12750,6.0580,0.6787
12800,6.3758,0.7066
12850,5.9010,0.7008
12900,5.5337,0.6945
12950,5.9963,0.6928
13000,6.0593,0.7131
13050,6.0466,0.7169
13100,5.9147,0.6972
13150,6.3462,0.6931
13200,6.2309,0.7085
13250,5.9956,0.7126
13300,5.8915,0.6844
13350,5.8712,0.7064
13400,5.9063,0.6913
13450,5.6503,0.6969
13500,6.0166,0.6951
13550,6.3145,0.6766
13600,6.1834,0.6820
13650,6.1609,0.7126
13700,5.4670,0.7160
13750,5.5049,0.7003
13800,5.5834,0.6962
13850,5.7390,0.6983
13900,5.7190,0.6910
13950,5.6651,0.7048
14000,5.6781,0.6847
14050,5.8106,0.6865
14100,5.8488,0.7066
14150,5.5645,0.6878
14200,5.6303,0.6791
14250,5.7257,0.6841
14300,5.8038,0.6912
14350,5.8890,0.6876
14400,5.4538,0.6906
14450,5.6077,0.6981
14500,5.3858,0.7085
14550,5.2582,0.6936
14600,5.3281,0.6892
14650,5.6951,0.6734
14700,5.8872,0.6919
14750,5.7594,0.7034
14800,5.9200,0.7087
14850,5.7212,0.6906
14900,5.9944,0.6924
14950,6.2336,0.6930
15000,5.7370,0.6828
15050,6.0412,0.7005
15100,5.8633,0.6941
15150,6.0018,0.6940
15200,6.0237,0.6766
15250,6.2978,0.7057
15300,6.2900,0.6689
15350,6.4217,0.6928
15400,6.8311,0.6909
15450,6.4955,0.6706
15500,6.2240,0.6684
15550,6.3762,0.6839
15600,6.5189,0.6539
15650,6.5518,0.6628
15700,6.4247,0.6485
15750,6.6936,0.6762
15800,6.9461,0.6689
15850,6.7635,0.7007
15900,6.6857,0.6852
15950,7.0296,0.6744
16000,6.8805,0.6634
16050,6.5323,0.6789
16100,6.4668,0.6892
16150,6.5770,0.6787
16200,6.4106,0.6809
16250,6.3784,0.6846
16300,6.5770,0.6793
16350,6.4159,0.6656
16400,6.5060,0.6930
16450,6.2741,0.6869
16500,6.2073,0.6894
16550,6.4389,0.6955
16600,6.0229,0.6772
16650,6.1758,0.6872
16700,6.3217,0.7005
16750,6.4791,0.6584
16800,6.6807,0.6787
16850,6.4114,0.6898
16900,6.5621,0.6820
16950,6.5250,0.6923
17000,6.4023,0.6761
17050,6.0488,0.6767
17100,5.9905,0.6813
17150,6.4406,0.6948
17200,6.3169,0.6738
17250,6.4663,0.6923
17300,6.4690,0.6918
17350,6.2747,0.6975
17400,6.6902,0.6834
17450,6.3260,0.7044
17500,6.4426,0.6611
17550,6.4074,0.6790
17600,6.4353,0.6700
17650,6.6938,0.6650
17700,6.3210,0.6628
17750,6.4780,0.6622
17800,6.4333,0.6661
17850,6.4729,0.6611
17900,6.7223,0.6958
17950,6.5914,0.6750
18000,6.8363,0.6773
18050,6.6116,0.6661
18100,6.5921,0.6667
18150,6.6521,0.6785
18200,6.6162,0.6528
18250,6.6455,0.6628
18300,6.6078,0.6633
18350,6.8708,0.6678
18400,7.0347,0.6451
18450,7.2279,0.6504
18500,7.1021,0.6655
18550,6.9526,0.6578
18600,7.0760,0.6480
18650,6.6624,0.6556
18700,6.9723,0.6594
18750,7.2858,0.6538
18800,7.1219,0.6561
18850,7.0094,0.6650
18900,6.7717,0.6535
18950,6.9955,0.6617
19000,6.8708,0.6595
19050,6.6619,0.6728
19100,6.5325,0.6678
19150,7.0272,0.6617
19200,7.1079,0.6650
19250,7.4232,0.6789
19300,7.3381,0.6459
19350,7.2153,0.6622
19400,7.0823,0.6485
19450,7.0291,0.6374
19500,6.9310,0.6460
19550,6.8689,0.6595
19600,7.0148,0.6522
19650,6.6876,0.6509
19700,6.7139,0.6656
19750,6.8826,0.6517
19800,6.7260,0.6461
19850,7.0443,0.6405
19900,6.9883,0.6503
19950,7.1643,0.6465
20000,6.8704,0.6485
20050,6.7266,0.6525
20100,6.8772,0.6695
20150,6.7630,0.6499
20200,6.4815,0.6628
20250,6.7206,0.6522
20300,6.5740,0.6494
20350,6.6858,0.6538
20400,7.0586,0.6516
20450,6.8378,0.6588
20500,7.1433,0.6633
20550,7.1574,0.6661
20600,6.9237,0.6454
20650,6.8787,0.6533
20700,7.0163,0.6512
20750,6.8190,0.6655
20800,6.8363,0.6551
20850,6.5897,0.6783
20900,6.8428,0.6678
20950,6.6783,0.6882
21000,6.6826,0.6850
21050,6.7359,0.6844
21100,7.0579,0.6571
21150,7.0871,0.6700
21200,7.0204,0.6568
21250,7.0399,0.6514
21300,7.1462,0.6700
21350,7.0901,0.6606
21400,6.8882,0.6531
21450,6.9622,0.6529
21500,7.0109,0.6744
21550,6.8231,0.6553
21600,6.5812,0.6623
21650,7.1782,0.6908
21700,7.2615,0.6756
21750,7.2382,0.6716
21800,7.3071,0.6838
21850,7.0188,0.6645
21900,6.7980,0.6650
21950,6.7060,0.6717
22000,6.9951,0.6689
22050,6.6494,0.6634
22100,6.3393,0.6683
22150,5.9004,0.6595
22200,5.9745,0.6783
22250,6.3149,0.6757
22300,6.5943,0.6711
22350,6.2344,0.6699
22400,6.3170,0.6639
22450,6.4360,0.6628
22500,6.3317,0.6694
22550,6.3275,0.6963
22600,6.0774,0.6854
22650,6.2014,0.6968
22700,6.0623,0.6761
22750,6.2745,0.6790
22800,6.4367,0.6792
22850,6.5387,0.6842
22900,6.5889,0.6639
22950,6.7159,0.6799
23000,7.1283,0.6645
23050,7.0436,0.6772
23100,6.9400,0.6744
23150,6.7952,0.6777
23200,6.9016,0.6813
23250,6.8940,0.6794
23300,6.7756,0.6667
23350,6.9196,0.6601
23400,6.6719,0.6537
23450,6.6530,0.6552
23500,6.8010,0.6633
23550,6.6948,0.6722
23600,6.8443,0.6799
23650,6.7652,0.6617
23700,7.1765,0.6667
23750,7.3358,0.6541
23800,7.1395,0.6634
23850,6.7989,0.6733
23900,6.8733,0.6667
23950,7.1150,0.6612
24000,6.8332,0.6683
24050,7.1505,0.6547
24100,7.1420,0.6817
24150,6.8858,0.6562
24200,6.9234,0.6617
24250,6.7612,0.6955
24300,7.1979,0.6650
24350,6.7002,0.6423
24400,6.8449,0.6488
24450,6.6655,0.6661
24500,6.5858,0.6861
24550,6.9226,0.6672
24600,7.1414,0.6540
24650,6.8530,0.6633
24700,6.7007,0.6645
24750,6.7980,0.6812
24800,6.7948,0.6727
24850,6.9292,0.6556
24900,7.2382,0.6468
24950,7.1073,0.6633
25000,6.8258,0.6739
25050,6.8664,0.6473
25100,6.8814,0.6517
25150,6.7787,0.6644
25200,6.9308,0.6655
25250,6.7902,0.6457
25300,6.9913,0.6695
25350,6.9978,0.6639
25400,6.4306,0.6599
25450,6.6178,0.6617
25500,6.6081,0.6617
25550,6.6245,0.6633
25600,6.6409,0.6655
25650,6.5609,0.6734
25700,7.0941,0.6728
25750,6.8986,0.6812
25800,7.1310,0.6600
25850,6.9529,0.6762
25900,6.8480,0.6606
25950,7.3237,0.6717
