t_ps,beta_core_rmsd,contact_jaccard
50,2.6282,0.8015
100,2.4230,0.7905
150,2.8529,0.7955
200,3.4268,0.7880
250,3.3996,0.7838
300,3.8243,0.7734
350,4.2764,0.7598
400,4.5368,0.7830
450,3.8468,0.7690
500,4.0098,0.7426
550,3.5389,0.7506
600,3.5985,0.7506
650,3.6856,0.7275
700,3.4540,0.7325
750,3.3419,0.7512
800,3.2232,0.7304
850,3.4262,0.7395
900,3.3709,0.7456
950,4.0767,0.7340
1000,3.9821,0.7398
1050,3.9537,0.7319
1100,4.1905,0.7226
1150,3.7949,0.7060
1200,3.6158,0.7389
1250,2.9583,0.7271
1300,3.0561,0.6921
1350,3.0517,0.7042
1400,3.0798,0.7157
1450,3.0782,0.6998
1500,3.2455,0.6993
1550,3.3258,0.7007
1600,3.6844,0.7081
1650,3.3892,0.7112
1700,4.0257,0.7146
1750,3.7365,0.6721
1800,3.4986,0.7275
1850,3.3399,0.7007
1900,2.8278,0.7033
1950,2.5189,0.7226
2000,2.4800,0.6967
2050,2.3343,0.7048
2100,2.4181,0.6993
2150,2.2051,0.7194
2200,2.1410,0.7062
2250,2.4501,0.7167
2300,2.2858,0.7105
2350,2.3959,0.6889
2400,2.3800,0.6909
2450,2.5243,0.6782
2500,2.6432,0.6888
2550,3.3532,0.6575
2600,2.9668,0.6705
2650,3.0677,0.7088
2700,3.0638,0.6929
2750,2.4790,0.6969
2800,2.4972,0.6938
2850,2.4632,0.6887
2900,2.2175,0.6995
2950,2.0963,0.7064
3000,2.4117,0.6943
3050,2.7023,0.7026
3100,2.0476,0.6952
3150,2.2535,0.6871
3200,2.2878,0.6956
3250,2.3185,0.6807
3300,2.6157,0.6737
3350,2.7273,0.6698
3400,2.4114,0.6738
3450,2.2027,0.6746
3500,2.3190,0.6842
3550,2.4792,0.6852
3600,2.4282,0.6778
3650,2.6105,0.7007
3700,2.7170,0.7095
3750,2.2764,0.6950
3800,2.3772,0.6745
3850,2.4787,0.6822
3900,2.3704,0.7017
3950,2.3624,0.6952
4000,2.7837,0.6921
4050,2.5961,0.7101
4100,2.4744,0.7077
4150,2.6991,0.6960
4200,2.7323,0.6682
4250,3.0103,0.6865
4300,3.0430,0.6706
4350,2.8554,0.7048
4400,2.7738,0.7108
4450,2.8585,0.7031
4500,3.2185,0.6901
4550,2.8652,0.6751
4600,3.1080,0.6840
4650,2.9797,0.6872
4700,3.5565,0.6832
4750,3.5470,0.7002
4800,3.6087,0.6738
4850,3.9823,0.7002
4900,3.5121,0.7059
4950,3.7524,0.6897
5000,3.8489,0.6950
5050,3.4283,0.6838
5100,3.7148,0.6818
5150,3.6969,0.6784
5200,3.7913,0.6848
5250,3.7753,0.6746
5300,3.8090,0.6674
5350,3.7663,0.6598
5400,3.9086,0.6597
5450,4.1189,0.6829
5500,4.3187,0.6714
5550,4.6051,0.6659
5600,4.7459,0.6505
5650,4.4460,0.6659
5700,4.3879,0.6675
5750,4.3844,0.6628
5800,4.4846,0.6659
5850,4.5152,0.6588
5900,4.6477,0.6857
5950,3.9801,0.6916
6000,3.6139,0.6739
6050,3.3851,0.6861
6100,3.3746,0.6714
6150,3.8913,0.6667
6200,3.8168,0.6983
6250,3.5237,0.6881
6300,3.2878,0.6730
6350,4.0016,0.6740
6400,3.3669,0.6747
6450,3.1702,0.6651
6500,3.2053,0.6837
6550,3.6926,0.6825
6600,3.7954,0.6944
6650,3.8311,0.6794
6700,4.2758,0.6816
6750,4.6193,0.6722
6800,4.5704,0.6929
6850,4.7263,0.6787
6900,4.4382,0.6930
6950,3.9489,0.6628
7000,4.7118,0.6869
7050,5.1570,0.6683
7100,4.6084,0.6612
7150,4.2012,0.6683
7200,3.6570,0.6845
7250,3.7436,0.6762
7300,3.5345,0.6581
7350,3.8984,0.6860
7400,4.3073,0.6771
7450,3.5946,0.7049
7500,3.2037,0.6772
7550,3.1786,0.6675
7600,3.6107,0.6917
7650,3.5284,0.6959
7700,3.7346,0.6887
7750,3.7902,0.7000
7800,3.9851,0.6878
7850,3.9772,0.6787
7900,3.5615,0.6857
7950,3.3611,0.6612
8000,3.5512,0.6659
