t_ps,beta_core_rmsd,contact_jaccard
50,3.1632,0.7979
100,3.3528,0.7942
150,2.8540,0.8011
200,3.8393,0.8071
250,4.3979,0.8169
300,4.5916,0.7861
350,4.4953,0.8125
400,4.1719,0.7905
450,4.4204,0.8125
500,4.5054,0.8169
550,4.5335,0.8081
600,4.2807,0.8098
650,3.8093,0.8053
700,3.4036,0.8189
750,3.7772,0.7937
800,4.2048,0.8113
850,4.4716,0.8055
900,4.8186,0.7827
950,4.4772,0.8214
1000,4.4005,0.7968
1050,4.4609,0.8164
1100,4.3201,0.8081
1150,4.6632,0.8098
1200,5.1301,0.8115
1250,5.0705,0.8038
1300,4.9012,0.8072
1350,4.9392,0.7633
1400,4.9097,0.7769
1450,4.5712,0.7757
1500,4.3606,0.7383
1550,4.3391,0.7692
1600,4.2402,0.7560
1650,4.6622,0.7757
1700,5.0288,0.7865
1750,5.0740,0.7739
1800,5.1881,0.7772
1850,5.1677,0.7668
1900,5.1865,0.7647
1950,4.7182,0.7694
2000,4.5264,0.7548
2050,4.1669,0.7928
2100,4.4396,0.7399
2150,5.1960,0.7177
2200,5.0713,0.7507
2250,5.1088,0.7350
2300,4.8398,0.7425
2350,4.8481,0.7219
2400,4.4801,0.7500
2450,4.6068,0.7446
2500,4.3210,0.7453
2550,4.2895,0.7339
2600,4.7630,0.7162
2650,4.7329,0.6952
2700,5.4326,0.6862
2750,5.2798,0.6984
2800,4.8975,0.6957
2850,4.5136,0.6793
2900,4.7323,0.7236
2950,5.0734,0.7038
3000,5.0201,0.6997
3050,4.9781,0.6933
3100,4.7285,0.6938
3150,5.3046,0.7065
3200,5.2708,0.6907
3250,5.4590,0.6862
3300,5.8750,0.7027
3350,5.8629,0.7092
3400,5.4020,0.7308
3450,5.6433,0.7086
3500,5.2251,0.7339
3550,5.2080,0.7241
3600,5.3082,0.7207
3650,5.1424,0.6995
3700,5.0518,0.6788
3750,5.3671,0.6935
3800,5.1090,0.7240
3850,5.1194,0.7010
3900,5.0034,0.7069
3950,4.9823,0.6915
4000,5.5334,0.7018
4050,5.4113,0.7309
4100,5.4827,0.7094
4150,5.6162,0.7589
4200,5.3114,0.7079
4250,5.3441,0.7241
4300,5.2275,0.7302
4350,5.3037,0.7024
4400,5.4103,0.7005
4450,5.2972,0.6917
4500,5.1962,0.6958
4550,5.5353,0.6919
4600,5.3852,0.6615
4650,5.6690,0.6880
4700,5.5959,0.6745
4750,5.6115,0.6702
4800,5.2796,0.6779
4850,5.1396,0.6868
4900,4.9535,0.6868
4950,4.8100,0.6945
5000,4.8953,0.6781
