mol_id,mol_name,smiles,status,apo_activity,vina_top_affinity_kcal_per_mol,n_poses,delta_activity_top,delta_activity_weighted,affinity_gate,delta_activity_gated,aspr_reactive,aspr_score,error
silibinin,Silibinin (silybin A),Oc1cc(O)c2C(=O)[C@H](O)[C@@H](c3cc4O[C@@H](c5ccc(O)c(OC)c5)[C@H](CO)Oc4cc3)Oc2c1,ok,17.775005580521217,-5.799,5.0,-0.4980709807609607,-0.5812835576633645,0.7137966712727363,-0.4149182685256832,False,0.0,
dhea,Dehydroepiandrosterone (DHEA),C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CCC2=O,ok,17.775005580521217,-5.573,5.0,-0.4443166969190102,-0.4986996351439531,0.4885813802598602,-0.2436553560737213,False,0.0,
egcg,Epigallocatechin gallate (EGCG),O=C(O[C@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,ok,17.775005580521217,-5.619,5.0,-0.5268210669445317,-0.446143822720169,0.5277730639868744,-0.2354626922958405,False,0.0,
retinoic-acid,Retinoic acid (all-trans),C/C(=C\\C(=O)O)/C=C/C=C(\\C)/C=C/C1=C(C)CCCC1(C)C,ok,17.775005580521217,-5.28,5.0,-0.681895805090754,-0.6675610110606142,0.29887584151876645,-0.1995178589458596,False,0.0,
fisetin,Fisetin,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,ok,17.775005580521217,-5.246,5.0,-0.3307350084998717,-0.5304348297045894,0.28230743915004425,-0.14974569840989246,False,0.0,
curcumin,Curcumin,O=C(/C=C/c1ccc(O)c(OC)c1)CC(=O)/C=C/c1ccc(O)c(OC)c1,ok,17.775005580521217,-5.215,5.0,-0.5478845169823501,-0.5528402094996587,0.2680027732165356,-0.14816270929151906,False,0.0,
baicalein,Baicalein,O=c1cc(-c2ccccc2)oc2c1c(O)c(O)c(O)c2,ok,17.775005580521217,-5.268,5.0,-0.359647094369425,-0.49079686431636793,0.2929199775163447,-0.14376420646064297,False,0.0,
allopregnanolone,Allopregnanolone,C[C@@]12CC[C@@H]3[C@H]([C@@H]1CC[C@@H]2C(C)=O)CC[C@H]4C[C@@H](O)CC[C@@]34C,ok,17.775005580521217,-5.346,5.0,-0.5091458868348369,-0.4249100514167461,0.3338649444188053,-0.14186257069924366,False,0.0,
naringenin,Naringenin,Oc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1,ok,17.775005580521217,-5.193,5.0,-0.45239414542363576,-0.49515586331535866,0.2582929892094792,-0.1278952880603243,False,0.0,
luteolin,Luteolin,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,ok,17.775005580521217,-5.365,5.0,-0.33573574235604653,-0.34644485392600993,0.34467678670321966,-0.11941149902108342,False,0.0,
demethoxycurcumin,Demethoxycurcumin,O=C(/C=C/c1ccc(O)cc1)CC(=O)/C=C/c1ccc(O)c(OC)c1,ok,17.775005580521217,-5.103,5.0,-0.5521687077918003,-0.5371872879885542,0.22210021034847777,-0.1193094096587862,False,0.0,
thc,Δ9-Tetrahydrocannabinol (THC),CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@H]21,ok,17.775005580521217,-5.161,5.0,-0.5324019291045516,-0.4714669320345376,0.2447941860257256,-0.11541236386544074,False,0.0,
myricetin,Myricetin,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,ok,17.775005580521217,-5.279,5.0,-0.3553297682819583,-0.3837915834923807,0.29837492781514446,-0.11451378602059907,False,0.0,
